household_unique_key,county_code,county_name,HFVS,HFVS_tier,d1_score,d2_score,d3_score,d4_score,d5_score,housing_cost_burden,is_urban_household,is_female_headed_hh,dwelling_tenure_type_code,hcb_predicted_hurdle,in_test_split,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
00-15-12-88,31.0,Laikipia,-0.22158812862589206,Moderate,-1.2119180446500124,0.20346812709641843,-0.15150342749900653,-0.5887340097605647,1.247369224686433,0.00044444444444444447,0.0,0.0,1.0,0.00044444444444444447,False,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.74495683,0.9877295708531191,"Expand (High Vuln, High Eff)",0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,True,True,False,859079702.1542554,329149311.1702128,0.0,0.1155324308505058,0.10054860366849132,4.349564841744185,0.8443874285968377,464831.5134460619,607203
00-16-06-43,43.0,Homa Bay,-0.037495298614337653,Moderate,0.23043319509779941,0.20346812709641843,0.3368679690974605,-0.844255534000189,-0.5716334494005686,0.05,0.0,0.0,1.0,0.05,False,0.6068840362888935,0.006958958297174318,0.2081705141182976,0.69512404,0.82504293,0.8425307517028237,"Improve (Low Vuln, Low Eff)",0.4617021276595744,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329148936.1702128,0.0,-0.041146784562934,0.11169257828006643,0.0,0.5654370409902643,712833.3133209652,1325447
00-16-10-84,23.0,Turkana,-0.1256494961642794,Moderate,0.23043319509779941,0.20346812709641843,-0.884060522393707,-0.7447016933873484,-0.050899350544289866,0.0022222222222222222,0.0,1.0,1.0,0.0022222222222222222,False,0.7970793769136322,0.0028272425487946163,0.23750004561852686,0.98321648,1.0,0.98321648,"Improve (Low Vuln, Low Eff)",0.5404255319148936,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.11218753464394778,0.061713814567075434,0.0,0.5795633898565167,471678.45674672537,1085434
00-16-94-41,44.0,Migori,0.09801895872261036,High,-0.2503505514848045,0.20346812709641843,0.09268227079922692,-0.1390824963259011,1.0048355348081663,0.03,0.0,1.0,1.0,0.03,False,1.0,0.0034135908612093883,0.07209281474034286,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.524468085106383,202,202.0,Capacity,100.0,National quota,303.0,True,True,True,True,664965660.7638298,329190921.1702128,997448491.1457448,0.07517413918684547,0.06657843948166528,3.366755438142344,0.8241225181030698,924078.8493138319,1307281
00-17-37-65,46.0,Nyamira,0.0761782304707907,High,-0.2503505514848045,0.20346812709641843,0.09268227079922692,-0.29256133393736394,1.061902285367759,0.03,0.0,0.0,1.0,0.023561518555212466,True,0.34650287995774187,0.013579799902952591,0.3167674515482774,0.55086903,0.78114229,0.7052095847992047,"Priority (High Vuln, Low Eff)",0.35744680851063826,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.026825598454177854,0.11871162120592645,0.0,0.47377342135900125,396114.71756229625,709094
00-18-49-57,47.0,Nairobi,0.3698774690332826,High,1.6727844348456111,0.5377052373728798,0.1740775035653047,-0.8027747670781722,-1.0139007662374084,0.017,1.0,0.0,2.0,0.017,False,1.0,0.002598590786641519,0.09335696623787357,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.8382978723404255,490,490.0,Capacity,490.0,Capacity,735.0,True,True,True,True,1613013537.2340426,1613013537.2340426,2419520305.851064,0.1769794975380904,0.1558592830682066,8.16677073526159,0.9129029948445055,4401317.195491398,5148713
00-18-78-01,3.0,Kilifi,1.0254249627783176,Critical,1.1920006882630074,1.8746536784787224,2.534539253781562,-0.7778863069249622,-1.0947453295301637,0.002,1.0,0.0,2.0,0.002,False,0.8181719766172306,0.0036298972198070085,0.19450639335609124,0.6787647,0.76926551,0.882354260234545,"Improve (Low Vuln, Low Eff)",0.5287234042553192,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.09473909535559052,0.07373232502264761,3.3329998787311763,0.6032165405835807,782909.5042997724,1702299
00-19-02-25,16.0,Machakos,-0.2977157005040208,Moderate,-1.2119180446500124,-1.1334803140094243,0.5810536673956941,1.8768827760841216,-0.18881066439663724,0.13333333333333333,0.0,0.0,1.0,0.06756572764270108,True,0.7202584313638617,0.005086473278949904,0.294046885151125,0.67604324,0.77641417,0.8707250152325273,"Improve (Low Vuln, Low Eff)",0.7085106382978723,380,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329182296.1702128,0.0,-0.14436068115827247,0.08165420573673002,0.0,0.52077803644012,645672.1150296052,1664999
00-19-88-27,5.0,Lamu,-0.28748867110408916,Moderate,0.23043319509779941,-0.7992432037329633,1.1508202967582388,-0.4543363249332298,-1.301612300308686,0.0,1.0,1.0,2.0,0.0,False,1.0,0.006286510914045204,0.2723070620748459,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.3425531914893617,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149011.1702128,0.0,-0.06624913792151788,0.03436316499751403,0.0,0.7007928017958225,84483.67424039268,168522
00-19-92-25,37.0,Kakamega,0.7845548584886044,Critical,-1.2119180446500124,2.2088907887551827,0.41826320186353827,0.8149751428804882,1.0048355348081663,0.015,0.0,0.0,3.0,0.015,False,0.8332030708190785,0.0013105003517994156,0.4324421247805948,0.82327794,0.83984122,0.9802780816116645,"Priority (High Vuln, Low Eff)",0.5101063829787233,232,232.0,Capacity,232.0,Capacity,348.0,True,True,True,True,764939231.9148936,764939231.9148936,1147408847.8723404,0.12641085968844284,0.09338363425925926,3.8729267853314995,0.8020852224760988,1708654.0673435766,2186825
